rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
40,-0.3664960024464889,0.0,-0.3858656760919358,0.0,0.015176773071289062,0.0,0.0022683143615722656,0.0,0.1,0.6000000000000001,"{'model__alpha': 0.1, 'model__l1_ratio': 0.6000000000000001}",-0.3664960024464889,-0.3858656760919358
41,-0.37068053319878347,0.0,-0.39055083536447,0.0,0.015612363815307617,0.0,0.0023949146270751953,0.0,0.1,0.7000000000000001,"{'model__alpha': 0.1, 'model__l1_ratio': 0.7000000000000001}",-0.37068053319878347,-0.39055083536447
42,-0.37500394230541484,0.0,-0.3950408519618483,0.0,0.011882781982421875,0.0,0.002237081527709961,0.0,0.1,0.8,"{'model__alpha': 0.1, 'model__l1_ratio': 0.8}",-0.37500394230541484,-0.3950408519618483
43,-0.37721937751934276,0.0,-0.3977728712487485,0.0,0.008328437805175781,0.0,0.0016734600067138672,0.0,0.1,0.9,"{'model__alpha': 0.1, 'model__l1_ratio': 0.9}",-0.37721937751934276,-0.3977728712487485
44,-0.3790871337882025,0.0,-0.4004357367889154,0.0,0.007199525833129883,0.0,0.0015654563903808594,0.0,0.1,1.0,"{'model__alpha': 0.1, 'model__l1_ratio': 1.0}",-0.3790871337882025,-0.4004357367889154
45,-0.420408038662317,0.0,-0.45894148411884633,0.0,0.15983986854553223,0.0,0.0020732879638671875,0.0,1,0.0,"{'model__alpha': 1, 'model__l1_ratio': 0.0}",-0.420408038662317,-0.45894148411884633
46,-0.4768839035100064,0.0,-0.5205035435851832,0.0,0.007019758224487305,0.0,0.001798868179321289,0.0,1,0.1,"{'model__alpha': 1, 'model__l1_ratio': 0.1}",-0.4768839035100064,-0.5205035435851832
47,-0.5465773849606745,0.0,-0.598279038234469,0.0,0.00734710693359375,0.0,0.0020151138305664062,0.0,1,0.2,"{'model__alpha': 1, 'model__l1_ratio': 0.2}",-0.5465773849606745,-0.598279038234469
48,-0.6320259868362551,0.0,-0.6943558490683248,0.0,0.007184505462646484,0.0,0.0019359588623046875,0.0,1,0.30000000000000004,"{'model__alpha': 1, 'model__l1_ratio': 0.30000000000000004}",-0.6320259868362551,-0.6943558490683248
49,-0.7059455835287322,0.0,-0.7766706652508066,0.0,0.13167214393615723,0.0,0.0020139217376708984,0.0,10,0.0,"{'model__alpha': 10, 'model__l1_ratio': 0.0}",-0.7059455835287322,-0.7766706652508066
50,-0.7296431552773409,0.0,-0.8022251617165953,0.0,0.007585287094116211,0.0,0.002059459686279297,0.0,1,0.4,"{'model__alpha': 1, 'model__l1_ratio': 0.4}",-0.7296431552773409,-0.8022251617165953
51,-0.8489280808685203,0.0,-0.9334481248511942,0.0,0.00690007209777832,0.0,0.001909494400024414,0.0,1,0.5,"{'model__alpha': 1, 'model__l1_ratio': 0.5}",-0.8489280808685203,-0.9334481248511942
52,-0.8784532533088025,0.0,-0.9676139382765586,0.0,0.1303391456604004,0.0,0.0018954277038574219,0.0,100,0.0,"{'model__alpha': 100, 'model__l1_ratio': 0.0}",-0.8784532533088025,-0.9676139382765586
